sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	type	lanetag	lasonder	is_control	pass_filter
PfG.579	ERS1544694	3429STDY6396315	11E_SC_Pfal_5E	SC	19715	5	79	PfG	579	Female	FALSE	TRUE
PfG.580	ERS1544695	3429STDY6396316	11F_SC_Pfal_5E	SC	19715	5	80	PfG	580	Female	FALSE	TRUE
PfG.581	ERS1544696	3429STDY6396317	11G_SC_Pfal_5E	SC	19715	5	81	PfG	581	Female	FALSE	TRUE
PfG.582	ERS1544697	3429STDY6396318	11H_SC_Pfal_5E	SC	19715	5	82	PfG	582	Female	FALSE	TRUE
PfG.610	ERS1544709	3429STDY6396330	2H_SC_Pfal_6E	SC	19715	6	10	NA	NA	NA	FALSE	FALSE
PfG.611	ERS1544710	3429STDY6396331	3A_SC_Pfal_3E	SC	19715	6	11	PfG	611	Female	FALSE	TRUE
PfG.612	ERS1544711	3429STDY6396332	3B_SC_Pfal_3E	SC	19715	6	12	PfG	612	Female	FALSE	TRUE
PfG.613	ERS1544712	3429STDY6396333	3C_SC_Pfal_3E	SC	19715	6	13	PfG	613	Male	FALSE	TRUE
PfG.614	ERS1544713	3429STDY6396334	3D_SC_Pfal_3E	SC	19715	6	14	PfG	614	Female	FALSE	TRUE
PfG.615	ERS1544714	3429STDY6396335	3E_SC_Pfal_6E	SC	19715	6	15	PfG	615	Female	FALSE	TRUE
PfG.616	ERS1544715	3429STDY6396336	3F_SC_Pfal_6E	SC	19715	6	16	PfG	616	Female	FALSE	TRUE
PfG.617	ERS1544716	3429STDY6396337	3G_SC_Pfal_6E	SC	19715	6	17	NA	NA	NA	FALSE	FALSE
PfG.619	ERS1544718	3429STDY6396339	4A_SC_Pfal_3E	SC	19715	6	19	PfG	619	Female	FALSE	TRUE
PfG.620	ERS1544719	3429STDY6396340	4B_SC_Pfal_3E	SC	19715	6	20	PfG	620	Female	FALSE	TRUE
PfG.621	ERS1544720	3429STDY6396341	4C_SC_Pfal_3E	SC	19715	6	21	PfG	621	Female	FALSE	TRUE
PfG.622	ERS1544721	3429STDY6396342	4D_SC_Pfal_3E	SC	19715	6	22	PfG	622	Female	FALSE	TRUE
PfG.623	ERS1544722	3429STDY6396343	4E_SC_Pfal_6E	SC	19715	6	23	PfG	623	Female	FALSE	TRUE
PfG.624	ERS1544723	3429STDY6396344	4F_SC_Pfal_6E	SC	19715	6	24	PfG	624	Male	FALSE	TRUE
PfG.625	ERS1544724	3429STDY6396345	4G_SC_Pfal_6E	SC	19715	6	25	NA	NA	NA	FALSE	FALSE
PfG.626	ERS1544725	3429STDY6396346	4H_SC_Pfal_6E	SC	19715	6	26	NA	NA	NA	FALSE	FALSE
PfG.627	ERS1544726	3429STDY6396347	5A_SC_Pfal_3E	SC	19715	6	27	PfG	627	Female	FALSE	TRUE
PfG.628	ERS1544727	3429STDY6396348	5B_SC_Pfal_3E	SC	19715	6	28	PfG	628	Female	FALSE	TRUE
PfG.629	ERS1544728	3429STDY6396349	5C_SC_Pfal_3E	SC	19715	6	29	PfG	629	Female	FALSE	TRUE
PfG.630	ERS1544729	3429STDY6396350	5D_SC_Pfal_3E	SC	19715	6	30	PfG	630	Female	FALSE	TRUE
PfG.631	ERS1544730	3429STDY6396351	5E_SC_Pfal_6E	SC	19715	6	31	PfG	631	Female	FALSE	TRUE
PfG.632	ERS1544731	3429STDY6396352	5F_SC_Pfal_6E	SC	19715	6	32	PfG	632	Female	FALSE	TRUE
PfG.633	ERS1544732	3429STDY6396353	5G_SC_Pfal_6E	SC	19715	6	33	PfG	633	Female	FALSE	TRUE
PfG.634	ERS1544733	3429STDY6396354	5H_SC_Pfal_6E	SC	19715	6	34	NA	NA	NA	FALSE	FALSE
PfG.635	ERS1544734	3429STDY6396355	6A_SC_Pfal_3E	SC	19715	6	35	PfG	635	Female	FALSE	TRUE
PfG.636	ERS1544735	3429STDY6396356	6B_SC_Pfal_3E	SC	19715	6	36	PfG	636	Female	FALSE	TRUE
PfG.637	ERS1544736	3429STDY6396357	6C_SC_Pfal_3E	SC	19715	6	37	PfG	637	Female	FALSE	TRUE
PfG.638	ERS1544737	3429STDY6396358	6D_SC_Pfal_3E	SC	19715	6	38	PfG	638	Female	FALSE	TRUE
PfG.639	ERS1544738	3429STDY6396359	6E_SC_Pfal_6E	SC	19715	6	39	PfG	639	Female	FALSE	TRUE
PfG.640	ERS1544739	3429STDY6396360	6F_SC_Pfal_6E	SC	19715	6	40	NA	NA	NA	FALSE	FALSE
PfG.641	ERS1544740	3429STDY6396361	6G_SC_Pfal_6E	SC	19715	6	41	NA	NA	NA	FALSE	FALSE
PfG.642	ERS1544741	3429STDY6396362	6H_SC_Pfal_6E	SC	19715	6	42	NA	NA	NA	FALSE	FALSE
PfG.643	ERS1544742	3429STDY6396363	7A_SC_Pfal_3E	SC	19715	6	43	PfG	643	Female	FALSE	TRUE
PfG.644	ERS1544743	3429STDY6396364	7B_SC_Pfal_3E	SC	19715	6	44	PfG	644	Female	FALSE	TRUE
PfG.645	ERS1544744	3429STDY6396365	7C_SC_Pfal_3E	SC	19715	6	45	PfG	645	Female	FALSE	TRUE
PfG.646	ERS1544745	3429STDY6396366	7D_SC_Pfal_3E	SC	19715	6	46	PfG	646	Female	FALSE	TRUE
PfG.647	ERS1544746	3429STDY6396367	7E_SC_Pfal_6E	SC	19715	6	47	PfG	647	Female	FALSE	TRUE
PfG.648	ERS1544747	3429STDY6396368	7F_SC_Pfal_6E	SC	19715	6	48	PfG	648	Male	FALSE	TRUE
PfG.649	ERS1544748	3429STDY6396369	7G_SC_Pfal_6E	SC	19715	6	49	PfG	649	Female	FALSE	TRUE
PfG.650	ERS1544749	3429STDY6396370	7H_SC_Pfal_6E	SC	19715	6	50	NA	NA	NA	FALSE	FALSE
PfG.651	ERS1544750	3429STDY6396371	8A_SC_Pfal_3E	SC	19715	6	51	PfG	651	Female	FALSE	TRUE
PfG.652	ERS1544751	3429STDY6396372	8B_SC_Pfal_3E	SC	19715	6	52	PfG	652	Female	FALSE	TRUE
PfG.653	ERS1544752	3429STDY6396373	8C_SC_Pfal_3E	SC	19715	6	53	PfG	653	Female	FALSE	TRUE
PfG.654	ERS1544753	3429STDY6396374	8D_SC_Pfal_3E	SC	19715	6	54	PfG	654	Female	FALSE	TRUE
PfG.655	ERS1544754	3429STDY6396375	8E_SC_Pfal_6E	SC	19715	6	55	NA	NA	NA	FALSE	FALSE
